reference,prediction,correct,wer,f1
"Hello, how are you today?","Hello, how are you today?",True,0.0,1.0
The weather is nice outside.,The weather is nice um outside. um,False,0.4,0.9090909090909091
I need to go to the store.,I need to to the store.,False,0.14285714285714285,0.9090909090909091
What time is the meeting?,What time um is the meeting?,False,0.2,0.9090909090909091
Thank you for your help.,Thank um you your help.,False,0.4,0.8000000000000002
Please call me tomorrow.,Please call me tomorrow.,True,0.0,1.0
The project is almost complete.,The project is almost complete.,True,0.0,1.0
Can you send me the report?,Can you send me the report?,True,0.0,1.0
I will be there at five o'clock.,I to be there at five o'clock.,False,0.14285714285714285,0.8571428571428571
Have a great day!,Have a great day!,True,0.0,1.0
The conference call starts at noon.,The conference call um for at noon.,False,0.3333333333333333,0.7692307692307692
We need to discuss the budget.,need to discuss the budget.,False,0.16666666666666666,0.9090909090909091
The deadline is next Friday.,The deadline is Friday.,False,0.2,0.888888888888889
Can you review this document?,Can you and this document?,False,0.2,0.8000000000000002
I'll send you the updated version.,I'll send you um the updated version.,False,0.16666666666666666,0.923076923076923
